group_no,age_group,inc_rate
1,15-19, 0.26431718061674303
2,20-24, 3.5682819383259954
3,25-29, 8.986784140969164
4,30-34, 14.008810572687224
5,35-39, 19.16299559471365
6,40-44, 23.524229074889874
7,45-49, 25.903083700440526
8,50-54, 27.885462555066077
9,55-59, 29.86784140969163
10,60-64, 32.37885462555066
11,65-69, 35.154185022026425
12,70-74, 38.72246696035243
13,75-79, 43.480176211453745
14,80-84, 48.89867841409692
15,85+, 55.37444933920705
