date,overall,"food, drinks and tobacco","clothes, shoes and accesories",housing,forniture and domestic appliances,health and personal care,transportation,education and recreation,others
Ene 2001,48.575476247934,39.582938436053,66.833785149831,60.741078720533,66.917255726879,50.365606382236,42.081850608968,44.598583073579,40.418567270434
Feb 2001,48.543328159565,38.772331894280,67.379000906542,61.217567007131,67.026624044813,51.057313419145,42.255691205450,45.021423362194,40.867280350684
Mar 2001,48.850887781724,39.146527729278,67.623549228577,61.549611888148,67.078194513028,51.540991254347,42.344063082091,45.218920190938,41.350004087808
Abr 2001,49.097308632383,39.628268031451,67.768762588641,61.359483147867,67.144944214168,51.745705774578,42.512561884147,45.450975400229,41.754338951633
May 2001,49.209970463625,39.921210562186,67.960263995572,60.700447934902,67.234657366862,51.860393640048,42.627410486873,45.621910835840,42.611685641931
Jun 2001,49.326363767192,39.953167927129,68.107730318726,60.800372448133,67.361150965776,52.099580815172,42.789406232687,45.810982277867,42.781738926305
Jul 2001,49.198201964030,39.819558935617,67.866459025627,60.079516229804,67.283697964023,52.117745252351,42.899842047732,46.034469290652,42.991998109322
Ago 2001,49.489687547186,40.454286638411,68.351459378268,59.832232221263,67.161485678751,52.382123979645,43.015387402132,46.442315242898,43.149281592665
Sep 2001,49.950381149772,40.806950912364,68.683258598353,60.429446435322,67.285254807749,52.505164832697,43.121758803075,48.618064858958,43.220084442408
Oct 2001,50.176135367754,41.102159920576,68.853254496318,60.894853600328,67.046668414381,52.624625836248,43.224065798946,48.630203129825,43.413275087365
Nov 2001,50.365148908872,41.023853038701,69.082851367260,61.855800812324,66.932240354339,52.753235347687,43.323121259924,48.720740362143,43.616580421202
Dic 2001,50.434898785093,41.007987679687,69.284183860998,61.784259527241,67.004828219450,52.870177190068,43.494174836172,48.846978393191,43.953399708020
Ene 2002,50.900472009716,41.609171476633,68.944601692808,61.823140659033,66.984589244417,53.141185280317,44.407505708935,49.240544027950,44.426640921447
Feb 2002,50.867749849081,40.496329838965,69.638103035165,63.001433410028,66.891957009738,53.545045662390,44.661240989303,49.600265296030,44.931996282411
Mar 2002,51.127948444496,40.651923685349,70.009226609495,63.733565155931,66.573971553357,53.652838996881,44.786889303903,49.839175059520,45.295619510852
Abr 2002,51.407234972562,40.970024140258,70.097706404788,64.184003086165,66.578447485671,53.903561251641,44.981051952836,49.933853580301,45.596152332348
May 2002,51.511429231398,41.171854178033,70.105694163258,64.153286992695,66.361267700132,54.055108338340,45.078597778418,50.008111248276,45.725999708887
Jun 2002,51.762586176959,41.588886479868,70.129452621292,64.557261964299,66.153623589014,54.149245194885,45.140260678415,50.092650745043,45.932971619167
Jul 2002,51.911181353362,41.918735482833,69.857342400434,64.651441967174,65.979639322789,54.257265667037,45.200180943132,50.328699552079,45.973475995041
